customer_id,last_purchase_date,recency_days,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,customer_segment
18011,0010-12-01,374,1,102.79,1,2,1,121,Lost
15350,0010-12-01,374,1,115.65,1,2,1,121,Lost
18074,0010-12-01,374,1,489.6,1,1,2,112,Lost
13065,0010-12-01,374,1,205.86,1,1,1,111,Lost
17908,0010-12-01,374,1,243.28,1,1,1,111,Lost
15165,0010-12-01,374,1,487.75,1,1,2,112,Lost
16583,0010-12-01,374,1,233.45,1,1,1,111,Lost
14237,0010-12-01,374,1,161.0,1,1,1,111,Lost
15922,0010-12-01,374,1,369.5,1,2,2,122,Lost
12791,0010-12-01,374,1,192.6,1,1,1,111,Lost
17643,0010-12-01,374,1,101.55,1,2,1,121,Lost
14142,0010-12-01,374,1,311.81,1,2,2,122,Lost
14729,0010-12-01,374,1,313.49,1,2,2,122,Lost
13747,0010-12-01,374,1,79.6,1,1,1,111,Lost
16274,0010-12-01,374,1,357.95,1,2,2,122,Lost
17968,0010-12-01,374,1,277.35,1,2,2,122,Lost
16048,0010-12-01,374,2,256.44,1,2,2,122,Lost
16510,0010-12-02,373,1,248.1,1,1,1,111,Lost
15823,0010-12-02,373,1,15.0,1,2,1,121,Lost
12738,0010-12-02,373,1,155.35,1,1,1,111,Lost
17850,0010-12-02,373,34,5391.21,1,5,5,155,Cannot Lose Them
13011,0010-12-02,373,1,50.55,1,1,1,111,Lost
16752,0010-12-02,373,1,207.5,1,1,1,111,Lost
14576,0010-12-02,373,1,35.4,1,2,1,121,Lost
17855,0010-12-02,373,1,208.97,1,1,1,111,Lost
15923,0010-12-02,373,1,127.08,1,1,1,111,Lost
15363,0010-12-02,373,1,326.0,1,2,2,122,Lost
16754,0010-12-02,373,1,2002.4,1,1,4,114,Lost
17732,0010-12-02,373,1,303.97,1,2,2,122,Lost
12855,0010-12-02,373,1,38.1,1,1,1,111,Lost
17925,0010-12-02,373,1,244.08,1,1,1,111,Lost
16781,0010-12-02,373,1,311.25,1,2,2,122,Lost
13108,0010-12-02,373,1,350.06,1,2,2,122,Lost
17976,0010-12-02,373,1,353.19,1,2,2,122,Lost
15070,0010-12-02,373,1,106.2,1,2,1,121,Lost
14589,0010-12-03,372,1,39.75,1,1,1,111,Lost
16926,0010-12-03,372,1,230.25,1,1,1,111,Lost
13370,0010-12-03,372,1,754.87,1,1,3,113,Lost
12686,0010-12-03,372,1,89.14,1,2,1,121,Lost
12725,0010-12-03,372,1,427.8,1,1,2,112,Lost
17967,0010-12-03,372,1,123.07,1,2,1,121,Lost
14813,0010-12-05,370,2,155.43,1,2,1,121,Lost
15880,0010-12-05,370,1,343.28,1,2,2,122,Lost
16718,0010-12-05,370,1,623.75,1,1,3,113,Lost
16658,0010-12-06,369,1,123.24,1,2,1,121,Lost
17860,0010-12-06,369,1,252.8,1,2,2,122,Lost
15899,0010-12-06,369,1,56.25,1,1,1,111,Lost
18113,0010-12-06,369,1,76.32,1,1,1,111,Lost
16858,0010-12-06,369,1,375.69,1,2,2,122,Lost
18119,0010-12-07,368,1,181.12,1,1,1,111,Lost
13807,0010-12-07,368,1,112.6,1,2,1,121,Lost
13786,0010-12-07,368,1,230.4,1,1,1,111,Lost
16125,0010-12-07,368,1,289.35,1,2,2,122,Lost
15180,0010-12-07,368,1,87.5,1,2,1,121,Lost
15973,0010-12-08,367,1,307.82,1,2,2,122,Lost
18269,0010-12-08,367,1,168.6,1,1,1,111,Lost
16679,0010-12-08,367,1,129.75,1,1,1,111,Lost
13270,0010-12-08,367,1,590.0,1,1,3,113,Lost
15347,0010-12-08,367,1,201.6,1,1,1,111,Lost
12441,0010-12-08,367,1,173.55,1,1,1,111,Lost
15221,0010-12-08,367,1,403.25,1,2,2,122,Lost
15332,0010-12-08,367,4,1661.06,1,4,4,144,Cannot Lose Them
14821,0010-12-08,367,1,48.8,1,1,1,111,Lost
16893,0010-12-08,367,1,145.93,1,1,1,111,Lost
12797,0010-12-09,366,1,254.03,1,2,2,122,Lost
14355,0010-12-09,366,1,174.4,1,1,1,111,Lost
16795,0010-12-09,366,1,414.88,1,1,2,112,Lost
15945,0010-12-09,366,1,181.0,1,1,1,111,Lost
13369,0010-12-09,366,1,308.28,1,2,2,122,Lost
17456,0010-12-09,366,1,249.86,1,1,1,111,Lost
14437,0010-12-09,366,1,63.0,1,1,1,111,Lost
14932,0010-12-09,366,1,363.53,1,2,2,122,Lost
16065,0010-12-09,366,1,372.09,1,2,2,122,Lost
17978,0010-12-09,366,1,300.92,1,2,2,122,Lost
17880,0010-12-10,365,1,458.92,1,1,2,112,Lost
15723,0010-12-10,365,1,203.1,1,1,1,111,Lost
14082,0010-12-10,365,1,182.25,1,1,1,111,Lost
12785,0010-12-10,365,1,311.95,1,2,2,122,Lost
16565,0010-12-10,365,1,173.7,1,1,1,111,Lost
16727,0010-12-10,365,1,272.82,1,2,2,122,Lost
18004,0010-12-12,363,1,169.47,1,1,1,111,Lost
15503,0010-12-12,363,1,147.09,1,1,1,111,Lost
15454,0010-12-12,363,1,179.1,1,1,1,111,Lost
14413,0010-12-12,363,1,122.7,1,2,1,121,Lost
17251,0010-12-12,363,1,283.28,1,2,2,122,Lost
16665,0010-12-12,363,1,135.4,1,1,1,111,Lost
17303,0010-12-13,362,1,250.04,1,1,1,111,Lost
15361,0010-12-13,362,1,418.92,1,1,2,112,Lost
17524,0010-12-13,362,1,145.0,1,1,1,111,Lost
13948,0010-12-14,361,1,102.0,1,2,1,121,Lost
16812,0010-12-14,361,1,479.35,1,1,2,112,Lost
16202,0010-12-14,361,1,365.27,1,2,2,122,Lost
16499,0010-12-14,361,2,365.45,1,3,2,132,At Risk
18050,0010-12-15,360,1,74.4,1,1,1,111,Lost
13295,0010-12-15,360,1,201.2,1,1,1,111,Lost
17525,0010-12-15,360,1,422.7,1,1,2,112,Lost
17551,0010-12-15,360,1,306.84,1,2,2,122,Lost
17752,0010-12-15,360,1,80.64,1,1,1,111,Lost
14373,0010-12-16,359,1,76.55,1,1,1,111,Lost
18176,0010-12-16,359,1,476.35,1,1,2,112,Lost
13874,0010-12-16,359,1,540.45,1,1,3,113,Lost
15789,0010-12-16,359,1,351.3,1,2,2,122,Lost
15224,0010-12-16,359,2,322.08,1,2,2,122,Lost
12967,0010-12-16,359,2,1660.9,1,3,4,134,At Risk
17691,0010-12-16,359,2,290.4,1,2,2,122,Lost
17496,0010-12-16,359,1,271.05,1,2,2,122,Lost
15160,0010-12-17,358,1,158.16,1,1,1,111,Lost
15204,0010-12-17,358,1,316.58,1,2,2,122,Lost
12551,0010-12-17,358,1,168.0,1,1,1,111,Lost
13033,0010-12-17,358,1,190.55,1,1,1,111,Lost
17343,0010-12-19,356,1,193.64,1,1,1,111,Lost
15279,0010-12-20,355,1,290.51,1,2,2,122,Lost
15460,0010-12-20,355,1,216.76,1,1,1,111,Lost
16270,0010-12-21,354,1,1141.24,1,2,4,124,Lost
12515,0010-12-21,354,1,383.7,1,2,2,122,Lost
12734,0010-12-22,353,1,110.4,1,2,1,121,Lost
13922,0010-12-23,352,1,172.25,1,1,1,111,Lost
13304,0010-12-23,352,1,300.42,1,2,2,122,Lost
15562,0010-12-23,352,1,134.55,1,1,1,111,Lost
16282,0011-01-04,340,1,168.3,1,1,1,111,Lost
15464,0011-01-05,339,1,1048.85,1,2,4,124,Lost
15266,0011-01-05,339,1,119.3,1,2,1,121,Lost
12386,0011-01-06,338,2,401.9,1,3,2,132,At Risk
13187,0011-01-06,338,1,236.02,1,1,1,111,Lost
15649,0011-01-07,337,2,816.0,1,3,3,133,At Risk
14889,0011-01-07,337,1,135.9,1,1,1,111,Lost
12829,0011-01-07,337,2,293.0,1,2,2,122,Lost
12501,0011-01-07,337,1,2169.39,1,1,5,115,Lost
15607,0011-01-07,337,1,104.76,1,2,1,121,Lost
12489,0011-01-07,337,1,334.93,1,2,2,122,Lost
17128,0011-01-09,335,1,157.09,1,1,1,111,Lost
12651,0011-01-09,335,1,114.0,1,2,1,121,Lost
18032,0011-01-09,335,1,73.5,1,1,1,111,Lost
12793,0011-01-09,335,2,545.48,1,3,3,133,At Risk
15326,0011-01-10,334,1,311.71,1,2,2,122,Lost
16850,0011-01-10,334,1,332.41,1,2,2,122,Lost
15100,0011-01-10,334,3,876.0,1,3,3,133,At Risk
17406,0011-01-10,334,3,2200.42,1,4,5,145,Cannot Lose Them
12736,0011-01-11,333,1,234.0,1,1,1,111,Lost
16351,0011-01-11,333,1,153.9,1,1,1,111,Lost
17569,0011-01-11,333,1,344.14,1,2,2,122,Lost
13144,0011-01-11,333,1,110.95,1,2,1,121,Lost
15346,0011-01-11,333,1,252.42,1,2,2,122,Lost
15171,0011-01-12,332,1,1289.5,1,2,4,124,Lost
12652,0011-01-12,332,1,919.98,1,2,3,123,Lost
14185,0011-01-12,332,1,197.65,1,1,1,111,Lost
14270,0011-01-12,332,1,492.65,1,1,3,113,Lost
18085,0011-01-13,331,2,689.95,1,3,3,133,At Risk
15510,0011-01-13,331,1,250.0,1,1,1,111,Lost
13284,0011-01-13,331,1,201.19,1,1,1,111,Lost
15447,0011-01-13,331,1,155.17,1,1,1,111,Lost
16315,0011-01-13,331,1,226.37,1,1,1,111,Lost
13385,0011-01-14,330,1,534.57,1,1,3,113,Lost
12672,0011-01-14,330,1,225.9,1,1,1,111,Lost
18106,0011-01-14,330,1,430.7,1,1,2,112,Lost
13859,0011-01-17,327,1,201.16,1,1,1,111,Lost
14238,0011-01-17,327,1,146.85,1,1,1,111,Lost
15316,0011-01-17,327,1,165.0,1,1,1,111,Lost
18212,0011-01-17,327,1,248.42,1,1,1,111,Lost
12872,0011-01-17,327,2,599.97,1,3,3,133,At Risk
13898,0011-01-18,326,1,155.93,1,1,1,111,Lost
12346,0011-01-18,326,1,77183.6,1,1,5,115,Lost
15395,0011-01-18,326,1,107.45,1,2,1,121,Lost
18233,0011-01-18,326,1,440.0,1,1,2,112,Lost
12665,0011-01-19,325,1,63.0,1,1,1,111,Lost
14090,0011-01-19,325,1,76.32,1,1,1,111,Lost
13008,0011-01-20,324,1,229.47,1,1,1,111,Lost
12402,0011-01-20,324,1,225.6,1,1,1,111,Lost
15262,0011-01-20,324,1,178.95,1,1,1,111,Lost
17862,0011-01-20,324,1,330.9,1,2,2,122,Lost
15422,0011-01-20,324,2,97.7,1,2,1,121,Lost
16387,0011-01-21,323,1,94.36,1,2,1,121,Lost
17890,0011-01-21,323,2,602.09,1,3,3,133,At Risk
15174,0011-01-21,323,1,135.75,1,1,1,111,Lost
17094,0011-01-21,323,1,302.0,1,2,2,122,Lost
15167,0011-01-23,321,1,163.0,1,1,1,111,Lost
17714,0011-01-23,321,1,153.0,1,1,1,111,Lost
14068,0011-01-23,321,1,265.85,1,2,2,122,Lost
13551,0011-01-24,320,1,91.8,1,2,1,121,Lost
14782,0011-01-24,320,1,200.1,1,1,1,111,Lost
14130,0011-01-24,320,1,483.86,1,1,2,112,Lost
15820,0011-01-24,320,1,206.98,1,1,1,111,Lost
14368,0011-01-24,320,1,155.0,1,1,1,111,Lost
15052,0011-01-24,320,1,215.78,1,1,1,111,Lost
14439,0011-01-24,320,1,2661.24,1,1,5,115,Lost
13703,0011-01-25,319,1,99.5,1,2,1,121,Lost
14248,0011-01-25,319,1,302.58,1,2,2,122,Lost
16757,0011-01-25,319,1,106.83,1,2,1,121,Lost
15222,0011-01-25,319,1,585.0,1,1,3,113,Lost
13615,0011-01-25,319,1,417.69,1,1,2,112,Lost
13002,0011-01-25,319,1,120.95,1,2,1,121,Lost
15213,0011-01-25,319,2,328.35,1,2,2,122,Lost
16222,0011-01-25,319,1,846.72,1,1,3,113,Lost
15661,0011-01-26,318,2,309.8,1,2,2,122,Lost
12591,0011-01-26,318,1,452.85,1,1,2,112,Lost
16124,0011-01-26,318,1,249.0,1,1,1,111,Lost
17118,0011-01-26,318,1,157.02,1,1,1,111,Lost
13328,0011-01-27,317,1,1308.48,1,2,4,124,Lost
12764,0011-01-27,317,1,1693.88,1,2,4,124,Lost
13506,0011-01-27,317,2,458.52,1,3,2,132,At Risk
12377,0011-01-28,316,2,1628.12,1,3,4,134,At Risk
12735,0011-01-28,316,2,779.57,1,3,3,133,At Risk
12574,0011-01-28,316,1,218.45,1,1,1,111,Lost
13161,0011-01-30,314,1,112.75,1,2,1,121,Lost
15415,0011-01-30,314,1,572.81,1,1,3,113,Lost
17431,0011-01-30,314,1,403.3,1,2,2,122,Lost
17062,0011-01-30,314,4,538.37,1,4,3,143,At Risk
15448,0011-01-31,313,1,494.64,1,1,3,113,Lost
17619,0011-01-31,313,1,218.52,1,1,1,111,Lost
13600,0011-01-31,313,1,219.52,1,1,1,111,Lost
18095,0011-01-31,313,2,580.05,1,3,3,133,At Risk
17239,0011-01-31,313,1,382.5,1,2,2,122,Lost
16403,0011-01-31,313,1,177.5,1,1,1,111,Lost
15881,0011-01-31,313,5,501.39,1,4,3,143,At Risk
12929,0011-02-01,312,1,117.85,1,2,1,121,Lost
14850,0011-02-01,312,1,325.75,1,2,2,122,Lost
13494,0011-02-01,312,1,316.26,1,2,2,122,Lost
14496,0011-02-01,312,2,538.81,1,3,3,133,At Risk
12373,0011-02-01,312,1,364.6,1,2,2,122,Lost
17356,0011-02-01,312,1,178.22,1,1,1,111,Lost
15107,0011-02-01,312,6,319.5,1,5,2,152,At Risk
14549,0011-02-01,312,1,289.24,1,2,2,122,Lost
15940,0011-02-01,312,1,35.8,1,1,1,111,Lost
