product_1_code,product_1_description,product_2_code,product_2_description,times_bought_together,pair_rank
22386,JUMBO BAG PINK POLKADOT,85099B,JUMBO BAG RED RETROSPOT,546,1
22697,GREEN REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER,541,2
22726,ALARM CLOCK BAKELIKE GREEN,22727,ALARM CLOCK BAKELIKE RED,530,3
20725,LUNCH BAG RED RETROSPOT,22384,LUNCH BAG PINK POLKADOT,523,4
20725,LUNCH BAG RED RETROSPOT,20727,LUNCH BAG  BLACK SKULL.,517,5
82482,WOODEN PICTURE FRAME WHITE FINISH,82494L,WOODEN FRAME ANTIQUE WHITE,468,6
20725,LUNCH BAG RED RETROSPOT,22382,LUNCH BAG SPACEBOY DESIGN,467,7
20727,LUNCH BAG  BLACK SKULL.,22384,LUNCH BAG PINK POLKADOT,464,8
23300,GARDENERS KNEELING PAD CUP OF TEA,23301,GARDENERS KNEELING PAD KEEP CALM,463,9
22697,GREEN REGENCY TEACUP AND SAUCER,22698,PINK REGENCY TEACUP AND SAUCER,460,10
20725,LUNCH BAG RED RETROSPOT,20728,LUNCH BAG CARS BLUE,458,11
21733,RED HANGING HEART T-LIGHT HOLDER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,455,12
22086,PAPER CHAIN KIT 50'S CHRISTMAS,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,451,13
20725,LUNCH BAG RED RETROSPOT,22383,LUNCH BAG SUKI DESIGN,450,14
22698,PINK REGENCY TEACUP AND SAUCER,22699,ROSES REGENCY TEACUP AND SAUCER,436,15
21931,JUMBO STORAGE BAG SUKI,85099B,JUMBO BAG RED RETROSPOT,434,16
20725,LUNCH BAG RED RETROSPOT,20726,LUNCH BAG WOODLAND,433,17
20728,LUNCH BAG CARS BLUE,22384,LUNCH BAG PINK POLKADOT,427,18
20725,LUNCH BAG RED RETROSPOT,85099B,JUMBO BAG RED RETROSPOT,425,19
22629,SPACEBOY LUNCH BOX,22630,DOLLY GIRL LUNCH BOX,424,20
20727,LUNCH BAG  BLACK SKULL.,20728,LUNCH BAG CARS BLUE,421,21
22423,REGENCY CAKESTAND 3 TIER,22699,ROSES REGENCY TEACUP AND SAUCER,420,22
20727,LUNCH BAG  BLACK SKULL.,22382,LUNCH BAG SPACEBOY DESIGN,418,23
85099B,JUMBO BAG RED RETROSPOT,85099F,JUMBO BAG STRAWBERRY,414,24
20727,LUNCH BAG  BLACK SKULL.,22383,LUNCH BAG SUKI DESIGN,409,25
22469,HEART OF WICKER SMALL,22470,HEART OF WICKER LARGE,407,26
20726,LUNCH BAG WOODLAND,22382,LUNCH BAG SPACEBOY DESIGN,405,27
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,85099B,JUMBO BAG RED RETROSPOT,396,28
22727,ALARM CLOCK BAKELIKE RED,22728,ALARM CLOCK BAKELIKE PINK,396,28
20728,LUNCH BAG CARS BLUE,22382,LUNCH BAG SPACEBOY DESIGN,391,30
20728,LUNCH BAG CARS BLUE,22383,LUNCH BAG SUKI DESIGN,390,31
20725,LUNCH BAG RED RETROSPOT,23206,LUNCH BAG APPLE DESIGN,389,32
23298,SPOTTY BUNTING,47566,PARTY BUNTING,389,32
22382,LUNCH BAG SPACEBOY DESIGN,22383,LUNCH BAG SUKI DESIGN,378,34
22423,REGENCY CAKESTAND 3 TIER,22697,GREEN REGENCY TEACUP AND SAUCER,374,35
22382,LUNCH BAG SPACEBOY DESIGN,22384,LUNCH BAG PINK POLKADOT,367,36
85099B,JUMBO BAG RED RETROSPOT,85099C,JUMBO  BAG BAROQUE BLACK WHITE,362,37
20726,LUNCH BAG WOODLAND,20728,LUNCH BAG CARS BLUE,362,37
22383,LUNCH BAG SUKI DESIGN,23206,LUNCH BAG APPLE DESIGN,360,39
22383,LUNCH BAG SUKI DESIGN,22384,LUNCH BAG PINK POLKADOT,358,40
22382,LUNCH BAG SPACEBOY DESIGN,22662,LUNCH BAG DOLLY GIRL DESIGN,356,41
23199,JUMBO BAG APPLES,85099B,JUMBO BAG RED RETROSPOT,351,42
20726,LUNCH BAG WOODLAND,20727,LUNCH BAG  BLACK SKULL.,347,43
23202,JUMBO BAG VINTAGE LEAF,85099B,JUMBO BAG RED RETROSPOT,345,44
22726,ALARM CLOCK BAKELIKE GREEN,22728,ALARM CLOCK BAKELIKE PINK,343,45
21212,PACK OF 72 RETROSPOT CAKE CASES,21977,PACK OF 60 PINK PAISLEY CAKE CASES,335,46
