return_risk_rank,product_label,stock_code,product_description,sales_quantity,sales_revenue,sales_orders,returned_quantity,returned_value,return_orders,return_share_pct
1,001. 22618 - COOKING SET RETROSPOT,22618,COOKING SET RETROSPOT,66,621.66,25,1701,174.18,4,96.26
2,002. 23114 - VINTAGE LEAF CHOPPING BOARD,23114,VINTAGE LEAF CHOPPING BOARD,144,684.0,41,1443,14.85,3,90.93
3,003. 23115 - RED APPLES CHOPPING BOARD,23115,RED APPLES CHOPPING BOARD,147,698.85,38,1440,0.0,1,90.74
4,004. 23005 - TRAVEL CARD WALLET I LOVE LONDON,23005,TRAVEL CARD WALLET I LOVE LONDON,4396,1788.72,175,19201,0.42,3,81.37
5,005. 85036B - CHOCOLATE 1 WICK MORRIS BOX CANDLE,85036B,CHOCOLATE 1 WICK MORRIS BOX CANDLE,360,581.58,42,1313,25.5,3,78.48
6,006. 72807B - SET/3 OCEAN SCENT CANDLE JEWEL BOX,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,350,1443.5,78,924,12.75,4,72.53
7,007. 23270 - SET OF 2 CERAMIC PAINTED HEARTS,23270,SET OF 2 CERAMIC PAINTED HEARTS,1166,1625.9,118,2886,8.7,2,71.22
8,008. 85036C - ROSE 1 WICK MORRIS BOXED CANDLE,85036C,ROSE 1 WICK MORRIS BOXED CANDLE,742,1051.52,76,1757,232.25,5,70.31
9,009. 72807A - SET/3 ROSE CANDLE IN JEWELLED BOX,72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,340,1406.28,66,793,38.25,8,69.99
10,010. 21351 - CINAMMON & ORANGE WREATH,21351,CINAMMON & ORANGE WREATH,101,654.55,31,227,47.25,3,69.21
11,011. 21622 - VINTAGE UNION JACK CUSHION COVER,21622,VINTAGE UNION JACK CUSHION COVER,364,1785.0,92,813,89.1,8,69.07
12,012. 23113 - PANTRY CHOPPING BOARD,23113,PANTRY CHOPPING BOARD,1138,5695.86,43,2386,4803.06,7,67.71
13,013. 23269 - SET OF 2 CERAMIC CHRISTMAS TREES,23269,SET OF 2 CERAMIC CHRISTMAS TREES,755,1075.55,76,1440,0.0,1,65.6
14,014. 21620 - SET OF 4 ROSE BOTANICAL CANDLES,21620,SET OF 4 ROSE BOTANICAL CANDLES,811,1211.25,124,1499,0.0,2,64.89
15,015. 47566B - TEA TIME PARTY BUNTING,47566B,TEA TIME PARTY BUNTING,2291,10445.25,313,4024,3692.95,9,63.72
16,016. 72807C - SET/3 VANILLA SCENTED CANDLE IN BOX,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,669,2727.97,112,1119,516.7,13,62.58
17,017. 85172 - HYACINTH BULB T-LIGHT CANDLES,85172,HYACINTH BULB T-LIGHT CANDLES,1328,557.76,40,2101,34.02,6,61.27
18,018. 23055 - IVORY CHANDELIER T-LIGHT HOLDER,23055,IVORY CHANDELIER T-LIGHT HOLDER,561,1292.97,36,830,690.72,6,59.67
19,019. 21696 - SMALL SILVER TRELLIS CANDLEPOT,21696,SMALL SILVER TRELLIS CANDLEPOT,226,666.7,29,332,35.4,2,59.5
20,020. 22617 - BAKING SET SPACEBOY DESIGN,22617,BAKING SET SPACEBOY DESIGN,2153,10210.89,424,2629,142.15,16,54.98
